Id,Brand,Model,Price,Selling_platform,Rating,Refresh_rate,Screen_size,Ram,Storage,Processor,Camera_setup,imgURL
48,Xiaomi,Galaxy S Lite 21,1211.09,Walmart,4.7,120,7.1,4,128,Dimensity 1080,108MP + 50MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/h/f/g13-pawv0028in-motorola-original-imagz4rbawxkbyjg.jpeg?q=70
49,Vivo,P Series Pro 23,1553.44,Official Store,4.8,60,7.4,8,64,Dimensity 920,108MP + 12MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/t/a/x/-original-imaghmtch6qfmfxg.jpeg?q=70
50,Huawei,iPhone Max 25,1855.7,Official Store,3.6,60,5.3,6,256,Helio G99,50MP + 16MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/6/f/-original-imagnb6nvnqz7hqq.jpeg?q=70
51,Motorola,Pixel Plus 11,852.84,Amazon,4.1,120,6.4,16,256,Helio G99,200MP + 16MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/6/f/-original-imagnb6nvnqz7hqq.jpeg?q=70
52,Oppo,Mate Ultra 25,1887.01,Reliance Digital,4.1,120,5.5,8,512,Helio G99,50MP + 50MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/9/g/-original-imagnfzyhh8gz8sd.jpeg?q=70
53,Sony,Reno Pro 13,1873.9,Walmart,4.8,165,5.8,4,1024,Helio G99,12MP + 8MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/y/g/-original-imagnfzybft7wzmp.jpeg?q=70
54,Samsung,Redmi Note 5G 20,1871.97,Walmart,4.2,60,5.7,16,512,Snapdragon 8 Gen 2,12MP + 12MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/y/g/-original-imagnfzybft7wzmp.jpeg?q=70
55,Sony,Nord Ultra 24,1530.19,AliExpress,3.5,90,6.6,6,64,Helio G99,50MP + 16MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/s/x/-original-imagzjhwaaewgj8r.jpeg?q=70
56,Huawei,Narzo Edge 14,1665.95,Flipkart,4.4,90,6.9,4,256,Helio G99,200MP + 50MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/o/v/-original-imagp27avqpgejaf.jpeg?q=70
57,Google,Moto G Lite 18,916.99,Amazon,3.7,165,7.2,4,1024,Tensor G1,48MP + 8MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/s/x/-original-imagzjhwaaewgj8r.jpeg?q=70
58,Nokia,Moto G Lite 20,452.58,Flipkart,4.9,165,6.5,8,256,Dimensity 920,108MP + 50MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/h/e/-original-imagzjhwmsamexfk.jpeg?q=70
59,Huawei,Mate Turbo 20,836.61,eBay,4.1,60,6.2,12,512,Dimensity 920,48MP + 8MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/u/n/-original-imagzjhwtfthcmzz.jpeg?q=70
60,Apple,Nord Edge 25,1031.37,Flipkart,4.6,60,6.7,6,256,A16 Bionic,50MP + 50MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/s/x/-original-imagzjhwaaewgj8r.jpeg?q=70
61,Xiaomi,Nord Lite 18,1519.29,eBay,3.6,60,7.5,16,256,Snapdragon 7 Gen 1,12MP + 16MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/h/e/-original-imagzjhwmsamexfk.jpeg?q=70
62,OnePlus,Moto G 5G 25,598.71,Flipkart,3.7,60,7.3,4,512,Dimensity 9000,64MP + 8MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/h/z/11-prime-mzb0cerin-redmi-original-imagzqvrgdz98jch.jpeg?q=70
63,Nokia,Reno SE 22,505.55,AliExpress,5.0,144,5.7,6,128,Dimensity 920,12MP + 16MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/u/n/-original-imagzjhwtfthcmzz.jpeg?q=70
64,Samsung,Reno Turbo 12,697.14,eBay,3.9,144,6.8,4,128,Exynos 2200,64MP + 12MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/m/3/11-prime-mzb0ceoin-redmi-original-imagzqvrz4mvf6tx.jpeg?q=70
65,Apple,Nord Plus 18,496.04,AliExpress,4.0,144,7.5,4,64,A16 Bionic,64MP + 8MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/6/v/0/c51-mzb0dxkin-poco-original-imagzdpycgrcdc8z.jpeg?q=70
66,Apple,Reno 5G 18,313.87,AliExpress,3.5,144,7.3,4,512,A15 Bionic,50MP + 50MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/o/z/-original-imagmmmhjsjru7c2.jpeg?q=70
67,Nokia,Xperia Lite 18,1226.04,Amazon,4.6,90,7.2,16,256,Dimensity 920,12MP + 16MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/2/n/m/-original-imagna3rjqn8vqxb.jpeg?q=70
68,Apple,Redmi Note Max 23,1378.52,Reliance Digital,3.5,144,6.5,6,512,A15 Bionic,50MP + 12MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/e/r/a/-original-imagna3qqyay2gaf.jpeg?q=70
69,Realme,Mate Turbo 24,1319.81,Flipkart,4.7,165,6.4,4,256,Dimensity 920,48MP + 50MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/u/c/u/-original-imagnanh2yvpc4zx.jpeg?q=70
70,Apple,P Series Mini 25,1670.75,Walmart,4.7,120,5.0,4,1024,A16 Bionic,48MP + 12MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/3/l/x/-original-imaghmtcmxwgypsk.jpeg?q=70
71,Google,P Series Lite 23,1176.92,Amazon,3.9,165,5.2,8,512,Tensor G1,64MP + 16MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/9/g/-original-imagnfzyhh8gz8sd.jpeg?q=70
72,Xiaomi,Galaxy S Plus 15,864.69,Flipkart,4.5,144,5.8,16,512,Snapdragon 7 Gen 1,108MP + 16MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/h/f/g13-pawv0028in-motorola-original-imagz4rbawxkbyjg.jpeg?q=70
73,Motorola,Redmi Note SE 24,1511.65,Reliance Digital,4.6,120,5.7,4,512,Helio G99,50MP + 50MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/t/a/x/-original-imaghmtch6qfmfxg.jpeg?q=70
74,Oppo,Galaxy S SE 10,1070.43,eBay,3.9,165,5.2,8,128,Dimensity 920,48MP + 16MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/6/f/-original-imagnb6nvnqz7hqq.jpeg?q=70
75,Xiaomi,Mate Mini 11,1580.76,Amazon,3.7,60,5.7,8,64,Dimensity 1080,200MP + 16MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/6/f/-original-imagnb6nvnqz7hqq.jpeg?q=70
76,OnePlus,iPhone Mini 15,1873.06,Reliance Digital,4.3,165,7.3,4,64,Dimensity 9000,48MP + 50MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/9/g/-original-imagnfzyhh8gz8sd.jpeg?q=70
77,Oppo,Nord Ultra 14,304.41,Reliance Digital,4.8,165,5.0,16,256,Dimensity 920,64MP + 16MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/y/g/-original-imagnfzybft7wzmp.jpeg?q=70
78,Samsung,iPhone Pro 14,1279.05,eBay,4.5,165,6.6,16,128,Snapdragon 8 Gen 2,48MP + 50MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/y/g/-original-imagnfzybft7wzmp.jpeg?q=70
79,Google,Mate Mini 19,160.34,Reliance Digital,4.4,144,5.7,4,128,Tensor G1,64MP + 8MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/o/v/-original-imagp27avqpgejaf.jpeg?q=70
80,Xiaomi,Reno SE 21,1361.32,AliExpress,4.8,120,6.6,6,64,Dimensity 1080,200MP + 50MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/h/z/11-prime-mzb0cerin-redmi-original-imagzqvrgdz98jch.jpeg?q=70
81,Realme,Galaxy S Lite 25,1746.33,AliExpress,4.4,90,5.5,4,128,Dimensity 920,108MP + 50MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/s/x/-original-imagzjhwaaewgj8r.jpeg?q=70
82,Xiaomi,Mate Plus 17,1997.29,Flipkart,3.8,144,5.4,6,64,Snapdragon 7 Gen 1,50MP + 8MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/u/n/-original-imagzjhwtfthcmzz.jpeg?q=70
83,OnePlus,V Series SE 19,513.13,Official Store,3.3,144,6.0,16,256,Snapdragon 8+ Gen 1,108MP + 16MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/h/e/-original-imagzjhwmsamexfk.jpeg?q=70
84,Xiaomi,Reno 5G 19,968.21,Flipkart,3.9,165,7.3,8,256,Snapdragon 7 Gen 1,108MP + 50MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/u/n/-original-imagzjhwtfthcmzz.jpeg?q=70
85,Realme,Reno Mini 25,370.53,eBay,4.1,144,5.5,6,512,Dimensity 920,200MP + 12MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/h/e/-original-imagzjhwmsamexfk.jpeg?q=70
86,Apple,Pixel Plus 14,1439.69,Flipkart,4.5,165,6.3,6,512,A15 Bionic,64MP + 12MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/s/x/-original-imagzjhwaaewgj8r.jpeg?q=70
87,OnePlus,Xperia Lite 17,1618.54,Official Store,3.4,90,5.9,8,512,Dimensity 9000,50MP + 8MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/s/x/-original-imagzjhwaaewgj8r.jpeg?q=70
88,Apple,Redmi Note Mini 11,1583.7,Amazon,4.3,144,7.1,6,1024,A16 Bionic,64MP + 16MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/o/z/-original-imagmmmhjsjru7c2.jpeg?q=70
89,Apple,Reno Pro 25,1241.34,Best Buy,3.5,120,6.9,4,64,A15 Bionic,64MP + 16MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/2/n/m/-original-imagna3rjqn8vqxb.jpeg?q=70
90,Realme,Nord Mini 21,452.05,Official Store,3.6,60,5.7,8,128,Helio G99,200MP + 50MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/e/r/a/-original-imagna3qqyay2gaf.jpeg?q=70
91,Nokia,Narzo 5G 13,675.37,AliExpress,4.2,60,5.7,6,256,Helio G99,50MP + 16MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/u/c/u/-original-imagnanh2yvpc4zx.jpeg?q=70
92,Motorola,Galaxy S Pro 13,905.84,Reliance Digital,3.3,165,6.5,6,64,Helio G99,50MP + 50MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/6/v/0/c51-mzb0dxkin-poco-original-imagzdpycgrcdc8z.jpeg?q=70
93,Samsung,Mate Plus 22,281.01,Amazon,4.4,90,6.3,6,64,Exynos 2200,50MP + 8MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/m/3/11-prime-mzb0ceoin-redmi-original-imagzqvrz4mvf6tx.jpeg?q=70
94,Apple,Mate Ultra 11,168.83,Flipkart,3.5,120,5.1,16,512,A15 Bionic,12MP + 8MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/3/l/x/-original-imaghmtcmxwgypsk.jpeg?q=70
95,Nokia,Xperia Mini 13,258.74,Reliance Digital,3.9,90,5.2,16,512,Helio G99,108MP + 8MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/9/g/-original-imagnfzyhh8gz8sd.jpeg?q=70
96,Vivo,Nord Mini 14,817.78,Reliance Digital,4.1,60,7.2,4,1024,Dimensity 920,64MP + 50MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/h/f/g13-pawv0028in-motorola-original-imagz4rbawxkbyjg.jpeg?q=70
97,Nokia,Redmi Note Lite 22,1833.86,Best Buy,3.9,60,5.7,8,512,Dimensity 920,108MP + 16MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/t/a/x/-original-imaghmtch6qfmfxg.jpeg?q=70
98,Realme,Galaxy S SE 20,1584.31,eBay,3.6,120,5.8,8,1024,Helio G99,50MP + 12MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/6/f/-original-imagnb6nvnqz7hqq.jpeg?q=70
99,Huawei,Galaxy S Turbo 24,1797.36,Walmart,4.3,60,6.7,6,128,Helio G99,64MP + 50MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/6/f/-original-imagnb6nvnqz7hqq.jpeg?q=70
100,Nokia,Xperia Max 15,943.42,Flipkart,4.7,120,6.3,4,1024,Helio G99,200MP + 16MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/9/g/-original-imagnfzyhh8gz8sd.jpeg?q=70
101,Oppo,Pixel Plus 18,1016.64,Reliance Digital,3.5,60,7.4,8,256,Helio G99,50MP + 50MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/y/g/-original-imagnfzybft7wzmp.jpeg?q=70
102,Sony,Redmi Note Edge 17,199.39,Walmart,4.5,60,5.9,4,64,Dimensity 920,12MP + 16MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/y/g/-original-imagnfzybft7wzmp.jpeg?q=70
103,Nokia,Pixel Turbo 19,205.12,Amazon,4.1,120,5.2,4,256,Helio G99,12MP + 16MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/s/x/-original-imagzjhwaaewgj8r.jpeg?q=70
104,Realme,Nord Edge 11,1947.56,eBay,3.8,60,6.2,12,64,Helio G99,50MP + 16MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/o/v/-original-imagp27avqpgejaf.jpeg?q=70
105,Huawei,Pixel Turbo 12,703.84,Amazon,3.8,120,7.1,8,256,Dimensity 920,108MP + 16MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/s/x/-original-imagzjhwaaewgj8r.jpeg?q=70
106,Nokia,Moto G Plus 16,965.51,Amazon,4.7,144,5.5,12,128,Dimensity 920,48MP + 50MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/h/e/-original-imagzjhwmsamexfk.jpeg?q=70
107,Xiaomi,Mate 5G 20,1341.02,Reliance Digital,3.8,90,7.2,6,1024,Snapdragon 7 Gen 1,108MP + 8MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/u/n/-original-imagzjhwtfthcmzz.jpeg?q=70
108,Google,Reno Mini 21,604.13,Walmart,3.4,60,6.4,16,64,Tensor G1,108MP + 12MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/s/x/-original-imagzjhwaaewgj8r.jpeg?q=70
